results/title,results/features/0/genre_ids,results/features/0/production_companies/0,results/features/0/release_date,results/features/0/vote_average,results/features/0/vote_count,results/features/0/budget,results/features/0/star_popularity,labels
Se7en,80,12,22/09/1995,8.3,16088,33000000,18.307,TRUE
A Nightmare on Elm Street,27,12,09/11/1984,7.3,3747,1800000,2.102,TRUE
Mama,27,33,17/01/2013,6.2,3426,15000000,7.692,TRUE
The Jungle Book,10751,2,07/04/2016,6.9,6872,175000000,1.38,TRUE
Transporter 3,28,6877,26/11/2008,6.1,2612,30000000,31.819,TRUE
Mr. Peabody & Sherman,16,520,07/02/2014,6.7,1921,145000000,2.28,TRUE
Saw V,27,1632,23/10/2008,6.2,2582,10800000,10.352,TRUE
Saw II,27,1053,28/10/2005,6.6,3972,4000000,10.352,TRUE
The Transporter,28,356,02/10/2002,6.7,4127,21000000,31.819,TRUE
Atomic Blonde,28,10146,26/07/2017,6.4,5186,30000000,16.795,TRUE
GoodFellas,18,8880,12/09/1990,8.5,9528,25000000,9.978,TRUE
Along with the Gods: The Two Worlds,18,7819,14/12/2017,8.1,456,18300000,1.292,TRUE
Saw III,27,2061,27/10/2006,6.4,3330,10000000,10.352,TRUE
King Kong,12,33,12/12/2005,6.8,6295,207000000,9.026,TRUE
Chicken Run,16,521,21/06/2000,6.7,3832,45000000,11.599,TRUE
Camp Cool Kids,10751,65623,11/07/2017,5.7,28,1000000,3.877,FALSE
Space Pirate Captain Harlock,16,5542,07/09/2013,6.6,843,30000000,5.081,FALSE
Ong Bak 2,12,3182,04/12/2008,6.4,473,8500000,5.583,TRUE
Christmas with the Kranks,35,497,24/11/2004,6,770,60000000,8.851,FALSE
Shrek the Halls,12,521,28/11/2007,6.2,588,60000000,6.968,FALSE
Chinese Zodiac,28,2726,20/12/2012,6.2,608,48000000,17.745,TRUE
Superfast!,35,11565,05/03/2015,5,278,20000000,1.394,FALSE
The Curious Case of Benjamin Button,18,4,25/12/2008,7.6,10186,150000000,21.308,TRUE
Last Christmas,35,33,07/11/2019,7.3,1663,30000000,11.097,TRUE
Sinbad: Legend of the Seven Seas,10751,521,02/07/2003,6.9,1565,60000000,21.308,TRUE
Monsters vs Aliens,16,521,19/03/2009,6.2,3646,175000000,8.869,TRUE
Kill Bill: Vol. 1,28,14,10/10/2003,8,13944,30000000,10.708,TRUE
Little Man,35,1608,31/08/2006,5.9,1255,64000000,4.103,TRUE
Kick-Ass 2,28,5374,17/07/2013,6.4,5057,28000000,6.554,TRUE
Insidious: Chapter 3,27,34,04/06/2015,6.3,2637,10000000,7.255,TRUE
The Thing,27,33,25/06/1982,8,4947,15000000,11.4,TRUE
What Happened to Monday,878,7561,18/08/2017,7.2,5028,20000000,12.107,TRUE
90 Minutes in Heaven,18,68117,11/09/2015,6.2,112,5000000,5.7,FALSE
Frankenweenie,16,8601,04/10/2012,6.9,2557,39000000,3.794,TRUE
The Next Three Days,10749,6320,18/11/2010,7.1,2228,30000000,9.54,TRUE
High School Musical,35,42053,20/01/2006,6.6,3861,4200000,9.064,FALSE
Overboard,10749,8573,13/04/2018,6.6,1092,12000000,11.66,TRUE
It's a Wonderful Life,18,11770,20/12/1946,8.3,3096,3180000,5.488,TRUE
Mission: Impossible III,12,4,03/05/2006,6.7,5120,150000000,17.341,TRUE
The Happening,53,444,11/06/2008,5.3,2645,60000000,21.262,TRUE
War of the Worlds,12,4,28/06/2005,6.5,6549,132000000,17.341,TRUE
Friday the 13th,27,12,11/02/2009,5.8,1904,19000000,5.955,TRUE
Huevos: Little Rooster's Egg-Cellent Adventure,16,37938,04/09/2015,7,167,5300000,1.723,TRUE
Who Framed Roger Rabbit,14,56,21/06/1988,7.5,4423,70000000,2.013,TRUE
Scott Pilgrim vs. the World,35,33,12/08/2010,7.4,6015,85000000,4.537,FALSE
Thir13en Ghosts,27,1786,26/10/2001,6.2,1511,42000000,2.536,TRUE
The Mummy,14,90517,06/06/2017,5.5,5951,125000000,17.341,TRUE
Texas Chainsaw 3D,27,925,03/01/2013,5.5,1178,10000000,24.599,FALSE
No Escape,53,2877,26/08/2015,6.9,2008,5000000,21.902,TRUE
Jeepers Creepers 2,27,53348,08/08/2003,6,1136,17000000,3.613,TRUE
Mary Poppins,35,3166,27/08/1964,7.6,3801,6000000,3.568,TRUE
Jojo Rabbit,35,43,18/10/2019,8.1,6758,14000000,1.052,TRUE
Uncut Gems,18,41077,30/08/2019,7.1,3305,19000000,9.491,TRUE
Catch Me If You Can,18,11084,25/12/2002,7.9,11762,52000000,17.509,TRUE
Bram Stoker's Dracula,10749,70,13/11/1992,7.4,3752,40000000,12.587,TRUE
Bridge to Terabithia,12,60611,15/02/2007,7.3,3659,60000000,6.566,TRUE
After.Life,18,12410,07/11/2009,6.2,817,4500000,7.667,FALSE
Spy,28,7076,06/05/2015,6.8,5086,65000000,10.307,TRUE
Man of Tai Chi,28,14714,04/07/2013,6,671,25000000,0.766,FALSE
Life Is Beautiful,35,370,20/12/1997,8.5,10605,20000000,1.877,TRUE
Freddy's Dead: The Final Nightmare,27,12,05/09/1991,5.3,918,11000000,5.551,TRUE
Van Helsing,27,33,05/05/2004,6.3,4601,160000000,20.496,TRUE
The Hills Have Eyes 2,27,2890,22/03/2007,5.5,1047,15000000,1.231,FALSE
Friday the 13th: The Final Chapter,27,93280,13/04/1984,6.1,900,2600000,1.4,TRUE
I Am Number Four,28,9195,18/02/2011,6.2,3872,50000000,2.898,TRUE
Halloween 4: The Return of Michael Myers,27,15822,21/10/1988,6.1,1058,5000000,7.253,TRUE
Neighbors,35,17393,08/05/2014,6.2,5928,18000000,4.185,TRUE
Lady Bird,18,93105,08/09/2017,7.3,6711,10000000,4.414,TRUE
After Porn Ends,99,12357,21/05/2012,5.7,197,400000,1.918,FALSE
Oz the Great and Powerful,14,16314,07/03/2013,5.9,5786,200000000,6.054,TRUE
The Mist,27,3982,21/11/2007,6.8,3720,18000000,4.507,TRUE
Ouija: Origin of Evil,27,2481,20/10/2016,6.1,1962,9000000,5.541,TRUE
The Emoji Movie,16,5,23/07/2017,5.6,2410,50000000,9.048,TRUE
Underwater,28,7076,08/01/2020,6.3,2261,50000000,28.263,FALSE
Full Metal Jacket,18,50819,26/06/1987,8.1,8090,30000000,4.514,TRUE
Zathura: A Space Adventure,10751,2550,06/11/2005,6.4,2524,65000000,6.566,TRUE
The Greatest Showman,18,7076,20/12/2017,8,7762,84000000,20.496,TRUE
The Return of the Living Dead,35,469,25/04/1985,7.2,1215,4000000,1.69,TRUE
Hulk,28,19551,19/06/2003,5.5,4547,137000000,4.769,TRUE
Watchmen,28,429,04/03/2009,7.3,7222,130000000,4.05,TRUE
Woodlawn,18,34,15/10/2015,7,138,12000000,8.457,TRUE
Lovelace,18,2123,08/08/2013,6,523,10000000,14.127,FALSE
Top Gun,28,4,16/05/1986,7,5050,15000000,17.341,TRUE
Regular Show: The Movie,16,7899,01/09/2015,7.8,251,3000000,1.96,FALSE
The Baytown Outlaws,28,12410,27/08/2012,6.1,234,4000000,6.307,FALSE
1917,10752,33,25/12/2019,8,8927,100000000,5.67,TRUE
The Iceman,53,1872,01/09/2012,6.5,782,20000000,4.961,FALSE
Rocky,18,8880,21/11/1976,7.8,5753,1000000,18.24,TRUE
Jeepers Creepers 3,27,99236,26/09/2017,4.8,592,6200000,2.369,FALSE
Teen Titans Go! To the Movies,16,2785,27/07/2018,7.4,891,10000000,1.298,TRUE
Horrible Bosses,35,12,08/07/2011,6.6,5226,35000000,9.561,TRUE
Ben 10 Alien Swarm,12,7899,25/11/2009,6.3,238,40000000,4.217,FALSE
Life After Beth,10749,23700,15/08/2014,5.4,522,2400000,6.774,FALSE
The Girl Next Door,35,1171,09/04/2004,6.7,2581,21000000,3.706,TRUE
Vacation,35,12,28/07/2015,6.3,2963,31000000,5.1,TRUE
Battleship,53,33,11/04/2012,5.8,4445,209000000,4.648,TRUE
Bad Boys,28,5,07/04/1995,6.8,4926,19000000,11.96,TRUE
Speed,28,25,09/06/1994,7.1,4646,30000000,30.496,TRUE
Alvin and the Chipmunks: Chipwrecked,35,711,14/12/2011,5.7,1672,75000000,6.029,TRUE
Jason X,27,21783,24/07/2001,4.8,939,11000000,2.234,TRUE
Voyagers,878,148185,08/04/2021,6.2,369,20000000,4.758,FALSE
Rings,27,4,01/02/2017,5,2169,25000000,9.341,TRUE
Missing Link,10751,11537,04/04/2019,7,629,100000000,20.496,FALSE
The Cabin in the Woods,27,1632,12/04/2012,6.6,6204,30000000,13.942,TRUE
Scream,80,7405,20/12/1996,7.3,4596,14000000,8.22,TRUE
Ben-Hur,28,21,17/08/2016,5.7,1393,100000000,1.469,FALSE
Dunkirk,10752,174,19/07/2017,7.5,13440,100000000,4.458,TRUE
Wrong Turn 6: Last Resort,27,47,22/08/2014,5.3,572,1200000,0.98,FALSE
Bruce Almighty,14,160,23/05/2003,6.7,8765,80000000,11.514,TRUE
The Unborn,27,134,09/01/2009,5.2,1085,16000000,9.383,TRUE
Big Fish & Begonia,16,58209,08/07/2016,7.5,317,4531653,0.962,TRUE
Friday the 13th Part VI: Jason Lives,27,80658,01/08/1986,6.2,800,3000000,1.4,TRUE
A Tale of Two Sisters,18,3616,13/06/2003,7.1,799,15050245,3.553,FALSE
Justice League: The New Frontier,28,2785,26/02/2008,6.9,379,3500000,5.024,TRUE
Journey to the Center of the Earth,28,12,10/07/2008,6,3859,45000000,7.902,TRUE
